,id,page_name,status,header,dynamicPage,itemResultsCount,searchCount,primary_url,secondary_url,note,error_status,error_response
123,1470542,buy:sterling-silver-sets,live,Sterling Silver Sets,,,,/search/?q=sterling%20silver%20sets&buyPageVariant1=true,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""StructuredBrowsePagesError"", ""message"": ""Only structured browse pages found for provided search term."", ""uriRef"": ""/furniture/dining-entertaining/sterling-silver/""}}"
124,1508432,buy:record-player,scheduled,Record Player,,,,/search/?buyPageVariant1=true&q=record+player,/furniture/,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=record%20player,SUCCESS,
125,1468752,buy:antique-posters,live,Antique Posters,,,,/search/?buyPageVariant1=true&q=antique+posters,/furniture/wall-decorations/posters/?item-type=antique-vintage,Generated using custom generation script,SUCCESS,
126,1545042,buy:curved-sofas,scheduled,,,,,/search/furniture/?buyPageVariant1=true&q=curved+sofas,/furniture/seating/sofas/,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=curved%20sofas,SUCCESS,
127,1506642,buy:committee,scheduled,Committee,,,,/search/?buyPageVariant1=true&q=committee,nan,Dynamic buy pages endpoint,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""committee"", ""normalized"": ""committee"", ""latinised"": ""committee""}}}"
128,1501012,buy:hermes-constance-bags,ended,,,,,/search/fashion/?buyPageVariant1=true&q=hermes+constance+bags,/creators/hermes/fashion/handbags-purses-bags/shoulder-bags/,Soft-delete page,SUCCESS,
129,1514582,buy:long-entry-bench,scheduled,Long Entry Bench ,,,,/search/furniture/?buyPageVariant1=true&q=long+entry+bench,/furniture/,Dynamic buy pages endpoint: Found probable duplicates! http://internal-luigi-buyer-services-705204976.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=long%20entry%20bench%20,SUCCESS,
130,1469782,buy:johann-sebastian-bach,live,Johann Sebastian Bach,,,,/search/furniture/?buyPageVariant1=true&q=johann+sebastian+bach,/creators/agam-yaacov/furniture/,Generated using custom generation script,SUCCESS,
131,1507672,buy:2-55,scheduled,2.55,,,,/search/?buyPageVariant1=true&q=2.55,nan,Dynamic buy pages endpoint,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""Profane words are not allowed in the search term."", ""searchTerm"": ""2 55""}}"
132,1514072,buy:robert-turner,scheduled,Robert Turner,,,,/search/art/?buyPageVariant1=true&q=robert+turner,/art/,Dynamic buy pages endpoint,SUCCESS,
